"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-909733","Interferon alpha/beta signaling","24/1182","63/9934",8.07010064995289e-08,0.000103620092345395,0.000103620092345395,"ISG15/IFIT2/IRF9/IFIT3/OASL/IFIT1/RSAD2/STAT1/MX1/USP18/IFI27/IFI6/OAS1/MX2/OAS3/EGR1/IFITM1/IFNA4/PTPN6/IFNA2/SOCS1/OAS2/ADAR/IRF8",24
"R-HSA-913531","Interferon Signaling","45/1182","191/9934",4.12752203593659e-06,0.00264986914707129,0.00264986914707129,"ISG15/IFIT2/IRF9/IFIT3/OASL/IFIT1/RSAD2/DDX58/STAT1/MX1/USP18/IFI27/IFI6/TRIM10/OAS1/MX2/EIF2AK2/NUP50/PTPN2/OAS3/EGR1/IFITM1/FLNB/TRIM25/IFNA4/TRIM5/KPNB1/PTPN6/HLA-DQA2/EIF4E3/IFI30/CAMK2D/HLA-DRB1/CIITA/IFNA2/TRIM26/SOCS1/OAS2/KPNA1/TRIM29/ADAR/IRF8/IFNG/CD44/UBC",45
