"","GSM1625995","GSM1625996","GSM1625997","GSM1625998","GSM1625999","GSM1626000","GSM1626001","GSM1626002","GSM1626003","GSM1626004","GSM1626005","GSM1626006","GSM1626007","GSM1626008","GSM1626009","GSM1626010","GSM1626011","GSM1626012"
"A_24_P418138",8.13250433457662,8.12385261109553,8.34672382300595,7.96381999084834,7.87927365606161,7.9226298060715,7.87723156413,7.70137507135323,7.76455577107704,7.95713625823561,8.13075556182496,8.15430600013691,7.83125243828146,7.98291951607414,7.97399989171031,7.65006399409038,7.77038916247729,7.700668100119
"A_32_P181513",7.87769060455189,7.87769060455189,7.59128755741156,7.52368712821353,7.47127523396415,7.41847385486337,7.67270743272857,7.73568433195589,7.62615589690643,8.01526907178573,8.00311696053342,7.9307608812742,7.86697471218453,7.33783211432611,7.36917891994197,7.42052356476508,7.50364499195601,7.65788285515536
"A_32_P191895",8.32368830792411,8.27148823796802,8.11727362313671,8.25865727191638,8.21358312801051,8.01703803741826,7.85634669044679,8.08835580070339,7.87769060455189,8.60860208752954,8.43408206222547,8.41087401028281,8.34283417973572,8.31370477765813,8.26185889713837,8.10806239288479,7.9546496097521,7.92688360146241
"A_32_P146286",12.3004304900564,12.2484284352019,12.2291259723556,12.1615588963329,12.2799152923095,12.462103235688,12.7879524755478,12.4628203998526,12.6096456607102,12.0515470392854,12.22530627201,12.2016798777625,12.3178664376573,12.2689708598142,12.3036127730942,12.6522711713428,13.0312790907826,13.0339382273369
"A_24_P315500",10.4888578104445,10.57207318515,10.5528539973249,10.5333203011676,10.5480312678947,10.3495707934849,10.5321597027377,10.3830239813321,10.4166844273496,10.0604923027076,10.0493230036837,10.1067265307785,10.1729290567293,10.3539910183095,10.5513946455448,10.3141098657867,10.46321109909,10.8997541360508
"A_32_P131143",8.03605802838688,8.05381682696474,8.12356525397153,8.93435536818666,8.78335314633657,8.86676169998689,8.88254161717092,8.89354832527043,8.78975334600667,8.20322351785402,8.22554839183602,8.17258265906394,8.76780186477077,8.9561371838868,8.96390782941063,8.95374116225924,8.77547210196192,8.87055763087808
"A_24_P456884",8.24428230861491,8.29978045317564,7.48978338737199,7.4403715956777,7.52314285536603,7.5562781269197,7.58515739820904,7.81832297208577,7.91476499356696,8.62403800810173,8.10553843490852,8.08452031360614,8.30845295670984,7.33783211432611,7.21547946595635,7.24534520084722,7.07734265262742,7.6626311279292
"A_24_P101651",12.897944215962,12.4628203998526,11.8351932040443,11.806363152674,12.0570027578751,11.9848418020327,12.2868289300574,12.3569509767629,12.3229359452529,12.4517105931735,12.2494082120177,12.2391493893364,12.5548073872959,11.9102972619555,11.6645698892314,11.8034790384385,11.7745794359182,12.2531031416494
"A_24_P481375",8.82484279205318,8.84017771644009,8.92745018030015,9.34048107941465,9.33056464542018,9.34801958333418,9.68623510071041,9.52824929219012,9.55639197832172,8.78133521395626,8.86924772454226,8.86385246706493,9.43104230077391,9.36113349798802,9.4374598738366,9.42183902112854,9.62403291947633,9.5081529781597
"A_32_P138557",8.86531120667406,8.93099512048899,9.02406360905942,8.77007488946039,8.63421280432169,8.6286225924108,8.54089699115669,8.56168332790209,8.6034821400534,8.86430616113359,8.89023439451477,8.89700556358925,8.57864040240229,8.6156671694286,8.7282152701328,8.44909282122218,8.50829244254279,8.41167173646098
"A_24_P306443",8.58038479214852,8.61556500183481,8.72228164137405,8.36515922857026,8.41430316678439,8.37699524261192,8.06693433536129,8.38192343601247,8.05139187985832,8.62205709887304,8.6785838094359,8.62485769117885,8.34054267092907,8.33635047174828,8.23339123851842,8.21233301319865,8.23758128484632,8.13667303998957
"A_32_P83465",14.1846136810327,14.284580355492,14.2353494657379,14.1174113466447,13.931537301213,14.2550306375975,14.3875129134469,13.2487051089852,13.2456757019673,13.8106938200836,14.3619491196596,14.2465295073554,14.1148419717949,14.322912428204,14.0450450676557,13.4059458718905,14.047462900797,14.1719786126058
"A_24_P706371",10.9136514405138,10.9387442593259,9.78398524899941,9.65472856521444,9.78465349391789,9.84664447307495,10.2039198488912,10.3823170597477,10.4719845574772,10.8807412129135,10.820560723277,10.7291881235256,10.8567204926483,9.6102547079007,9.57683983654431,10.0584205198482,9.88241405466039,10.6978395227222
"A_24_P342096",9.95749200375582,10.011178064136,10.1311750306458,10.6020901178256,10.5634264093017,10.6200453718977,10.3756131727933,10.4196049286156,10.4332756202118,9.92654887487398,9.82029289794555,9.77712155511707,10.2917080399091,10.5278076277503,10.3979795103397,10.3985845093752,10.2186525887978,10.154148904668
"A_32_P154601",7.83066394039282,7.90769029259443,8.11727362313671,7.79281572392167,7.68225982121681,7.71615422144206,7.37910966731158,7.34948126362635,7.44293490801062,7.84059640791018,7.9242633467397,7.91526311662322,7.5692100806292,7.59194403085154,7.64170511500373,7.30927403210915,7.36684180911303,7.30605618291316
"A_23_P85250",12.2269875174646,12.2050533957993,11.9733616569507,11.8310358787094,11.9108177452981,11.7282615276481,11.8895654016689,11.9618195660766,11.9200614066935,12.3997882942217,12.3806324842466,12.3838528321069,12.1597908425415,11.8385892482769,11.9506451222929,11.7351430801634,11.6260892537017,11.8130444265088
"A_23_P218203",11.4252464998547,11.1968833346688,11.5744504634991,11.8904523550317,11.9695695105356,11.632969827399,12.060938023897,12.2892569100746,12.2090539906749,11.4291172700812,11.2483409656211,11.2536089938895,11.4550108632353,11.7025802703296,11.6789413985492,11.8604384603066,11.5247772824304,11.881377608111
"A_23_P26916",9.80806037688829,9.77941937789882,9.91693888775319,10.477098753066,10.375884582163,10.4281000077907,10.6140730692172,10.7542762757164,10.7587115889918,9.99949108453001,9.96250277190935,9.90837219592091,10.3373420624231,10.4731019014528,10.4322821992245,10.7590565391332,10.6613091909988,10.6233474793557
"A_32_P42705",9.08135695579277,9.1203368899732,9.16247034583277,9.66869070602547,9.59103995089692,9.56778123401187,9.32183338827597,9.38882263546944,9.37292992867818,9.24557843625203,9.25269230887404,9.1326795529226,9.60021357720221,9.71475535472717,9.83649334219427,9.39596086557189,9.25950449976962,9.17991511503665
"A_32_P10133",9.14840705934954,9.31951800136071,9.62061029340298,9.56796604301411,9.51331291172728,9.63636068297152,9.35444422052915,9.07786718927219,9.41423634651088,9.52471984246799,9.57803727350951,9.53917778737495,9.30140017879918,9.13886116197301,9.23142646731267,9.00526429670066,8.98604768239193,8.89754688223377
"A_24_P122921",11.1866040855039,11.1671615502622,11.0746523913404,10.5148817288196,10.5884554363752,10.5974105701743,10.1139079286117,10.1402129802683,10.108972137991,10.9788169131259,11.0346363071751,11.0897466124283,10.632774671842,10.6070567680099,10.6969127101148,10.2467622883545,10.2834336690818,10.275777378063
"A_24_P201739",8.75277154152425,8.8891158799765,8.6869105583872,8.85802884260595,8.81481806155778,8.89256411668331,9.2234957011144,9.44485659384595,9.36970470513074,9.00289666551045,9.00526429670066,8.98013048153417,8.82915583756168,8.79457271829646,8.84663279779468,9.23909888990147,9.16967329114108,9.21060515701825
"A_23_P17593",12.3729542801609,12.2490213208407,12.4486742108827,12.1323641378856,12.1660393380156,12.1185338610225,12.5451509059363,12.4020668828988,12.4059303973971,11.9414329450206,12.0302342333558,12.0391171559177,12.1156831978929,12.0993643325451,12.1929332611284,12.228708554398,12.4239971773016,12.4928671963048
"A_32_P32496",7.98952165020377,7.98930801044433,8.0523079331265,8.30813689923945,8.27914260470851,8.25567843576051,7.89285124999436,7.80799974669818,8.00901680937699,8.23202957497584,8.40891453489288,8.18306129816259,8.07484304455925,7.86475961886412,7.77963806896187,7.73530824729709,7.51625062451271,7.64374016484963
"A_23_P150935",13.3871041300917,13.4842837854015,13.6300168213971,12.1973771959514,12.1521775106836,12.0822951481074,12.0450847285695,12.1435675336912,12.1819874162633,13.5174739513171,13.5391918322378,13.5216883865178,11.9652913986324,12.0648812922142,12.0763220837362,11.8999475988005,11.8169928481686,11.8231109937147
"A_23_P56170",8.6033791058649,8.59855600425835,8.78941794308919,8.96690917096705,8.74560606092438,8.81222733900728,8.93339508507326,9.2111426859285,9.07406271317369,8.58096751953687,8.7408857363028,8.72199695430765,8.5939011305053,8.77988245830887,8.87029233331037,8.98020983601492,8.94835041203877,8.93488387772976
"A_24_P864142",7.50477705714209,7.62233518869029,7.59807879725367,7.63060642251636,7.59680440884608,7.52346961052535,7.37910966731158,7.27818764082633,7.32377965585105,7.77692701189709,7.83160432848827,7.72751318328301,7.57875871405841,7.38229682544095,7.39169300821084,7.18774361331584,7.21423322820878,7.19079257730297
"A_32_P206839",9.78053444064842,9.71040365319433,9.71515979499607,10.6852968738399,10.4551779030341,10.5600108676038,10.8935187220291,11.0990121600279,10.9488780676221,10.0687509953965,10.0485517784575,9.99384843740131,10.5875746959319,10.6219193859794,10.5496944836908,10.7262457157427,10.6587112420889,10.8987489030855
"A_32_P37461",8.30615354356861,8.35358034840587,8.30575608971497,8.54904076199128,8.56249877929225,8.57678903076606,8.26935991740143,8.10508313805465,8.12893876935556,8.3159911125157,8.31237596728665,8.36763382736554,8.50272649256912,8.55555562144504,8.47857902806622,8.24140172190759,8.05880435926362,8.11009439522681
"A_24_P333567",7.80423319478348,7.78012306598376,7.74144086556143,8.06291026018695,8.01071537005735,8.00839440675766,8.37854590186195,8.38192343601247,8.37854590186195,7.80054545958015,7.78121857538351,7.81175605354097,8.18664533043622,8.13378901002927,8.15469053719521,8.22491287801395,8.23994292307298,8.29480380590068
"A_32_P209791",10.1403872961534,10.0346076236186,10.0938831151127,10.7388921341731,10.826298395644,10.783498835567,10.6527745726357,10.5796480527242,10.542730189108,10.1875061383782,10.0303569505549,10.1045772191338,10.776776040872,10.9216176048112,10.8007518232318,10.4918179063126,10.498182694448,10.5689210446101
"A_24_P696507",10.9597453484615,10.8830510966198,10.5170846801132,10.304091809718,10.4073607003586,10.4127715386969,9.97599340829935,10.1629574425972,10.2946271254649,10.8063245826736,10.7876412279333,10.7760791837059,10.7788711608881,9.50884417019125,10.2515144660853,9.97599340829935,9.82870669130884,9.46916322079995
